#EXPORTTYPE:           ,DATA ALL                      ,,
#FILE:                 ,sanidMtp3run1.ngb-sle         ,,
#FORMAT:               ,NETZSCH5                      ,,
#FTYPE:                ,ANSI                          ,,
#IDENTITY:             ,mt thrid orien                ,,
#DECIMAL:              ,POINT                         ,,
#SEPARATOR:            ,COMMA                         ,,
#MTYPE:                ,DIL                           ,,
#INSTRUMENT:           ,NETZSCH DIL 402C              ,,
#PROJECT:              ,morb                          ,,
#DATE/TIME:            ,11/14/2018 11:35:03 AM (UTC-6),,
#CORR. FILE:           ,                              ,,
#TEMPCAL:              ,TCALZERO.TMX                  ,,
#LABORATORY:           ,min phys                      ,,
#OPERATOR:             ,amh                           ,,
#REMARK:               ,bare, norm start, calib run   
#SAMPLE:               ,mt t ortho010                 ,,
#SAMPLE LENGTH /mm:    ,4.35,,
#MATERIAL:             ,sapphire stnd                 ,,
#MEASMODE:             ,Standard Expansion            ,,
#PURGE GAS 1:          ,ARGON                         ,,
#FLOW RATE 1 /(ml/min):,75,,
#M.RANGE /�m:          ,500,,
#CORR. CODE:           ,10,,
#RANGE:                ,20.0�C/3.0(K/min)/950.0�C     ,,
#SEGMENT:              ,S1/1                          ,,
#SEG. 1:               ,20.0�C/3.0(K/min)/950.0�C     ,,
,,,
##Temp./�C,Time/min,dL/Lo,
40.024,8.79667,-0.00016926,
40.132,8.81833,-0.00016906,
40.24,8.84,-0.00016727,
40.344,8.86167,-0.00016664,
40.454,8.88333,-0.00016518,
40.559,8.905,-0.00016423,
40.665,8.92667,-0.00016386,
40.77,8.94833,-0.0001625,
40.875,8.97,-0.00016131,
40.978,8.99167,-0.00016066,
41.095,9.01333,-0.00015955,
41.192,9.035,-0.00015868,
41.293,9.05667,-0.00015755,
41.41,9.07833,-0.00015564,
41.512,9.1,-0.00015439,
41.629,9.12167,-0.00015312,
41.739,9.14333,-0.00015189,
41.838,9.165,-0.00015069,
41.948,9.18667,-0.00014955,
42.052,9.20833,-0.00014854,
42.159,9.23,-0.00014794,
42.274,9.25167,-0.00014662,
42.374,9.27333,-0.00014472,
42.48,9.295,-0.00014433,
42.595,9.31667,-0.00014356,
42.693,9.33833,-0.00014165,
42.804,9.36,-0.00013993,
42.914,9.38167,-0.0001389,
43.007,9.40333,-0.00013717,
43.116,9.425,-0.00013624,
43.226,9.44667,-0.00013536,
43.339,9.46833,-0.00013368,
43.445,9.49,-0.0001322,
43.544,9.51167,-0.00013068,
43.655,9.53333,-0.00012913,
43.762,9.555,-0.00012801,
43.866,9.57667,-0.0001272,
43.979,9.59833,-0.00012507,
44.08,9.62,-0.00012402,
44.193,9.64167,-0.00012266,
44.299,9.66333,-0.00012106,
44.411,9.685,-0.00012014,
44.51,9.70667,-0.00011879,
44.619,9.72833,-0.00011706,
44.729,9.75,-0.00011503,
44.83,9.77167,-0.00011424,
44.938,9.79333,-0.00011314,
45.042,9.815,-0.00011124,
45.145,9.83667,-0.00011027,
45.26,9.85833,-0.00010884,
45.372,9.88,-0.00010731,
45.482,9.90167,-0.00010519,
45.591,9.92333,-0.00010354,
45.703,9.945,-0.00010308,
45.811,9.96667,-0.00010092,
45.918,9.98833,-9.9401E-05,
46.034,10.01,-9.7299E-05,
46.135,10.03167,-9.6512E-05,
46.249,10.05333,-9.4827E-05,
46.353,10.075,-9.33E-05,
46.458,10.09667,-9.1737E-05,
46.566,10.11833,-9.0584E-05,
46.682,10.14,-8.9286E-05,
46.788,10.16167,-8.7572E-05,
46.898,10.18333,-8.6088E-05,
47.005,10.205,-8.4626E-05,
47.106,10.22667,-8.2459E-05,
47.222,10.24833,-8.2139E-05,
47.332,10.27,-7.8988E-05,
47.447,10.29167,-7.8301E-05,
47.551,10.31333,-7.6142E-05,
47.662,10.335,-7.4334E-05,
47.765,10.35667,-7.3073E-05,
47.877,10.37833,-7.1459E-05,
47.981,10.4,-7.0248E-05,
48.098,10.42167,-6.857E-05,
48.205,10.44333,-6.7279E-05,
48.311,10.465,-6.6255E-05,
48.424,10.48667,-6.4634E-05,
48.529,10.50833,-6.2381E-05,
48.642,10.53,-6.1651E-05,
48.755,10.55167,-6.0432E-05,
48.867,10.57333,-5.7956E-05,
48.975,10.595,-5.663E-05,
49.081,10.61667,-5.5261E-05,
49.193,10.63833,-5.4251E-05,
49.306,10.66,-5.2112E-05,
49.405,10.68167,-5.1138E-05,
49.52,10.70333,-4.8899E-05,
49.628,10.725,-4.7315E-05,
49.752,10.74667,-4.5413E-05,
49.856,10.76833,-4.4259E-05,
49.961,10.79,-4.2552E-05,
50.075,10.81167,-4.0694E-05,
50.192,10.83333,-3.821E-05,
50.297,10.855,-3.7452E-05,
50.403,10.87667,-3.5335E-05,
50.516,10.89833,-3.3369E-05,
50.634,10.92,-3.2114E-05,
50.733,10.94167,-3.0565E-05,
50.847,10.96333,-2.9742E-05,
50.966,10.985,-2.7991E-05,
51.085,11.00667,-2.5579E-05,
51.187,11.02833,-2.4928E-05,
51.297,11.05,-2.2294E-05,
51.411,11.07167,-2.0149E-05,
51.521,11.09333,-1.8492E-05,
51.632,11.115,-1.7287E-05,
51.745,11.13667,-1.5666E-05,
51.858,11.15833,-1.4361E-05,
51.968,11.18,-1.1956E-05,
52.083,11.20167,-1.0723E-05,
52.193,11.22333,-8.8934E-06,
52.305,11.245,-6.9632E-06,
52.416,11.26667,-5.1265E-06,
52.529,11.28833,-3.7925E-06,
52.643,11.31,-2.3651E-06,
52.754,11.33167,-7.0064E-07,
52.861,11.35333,1.567E-06,
52.977,11.375,3.3538E-06,
53.092,11.39667,6.1965E-06,
53.205,11.41833,7.3294E-06,
53.316,11.44,8.9651E-06,
53.434,11.46167,1.183E-05,
53.544,11.48333,1.3487E-05,
53.662,11.505,1.5518E-05,
53.771,11.52667,1.6737E-05,
53.88,11.54833,1.8962E-05,
54.004,11.57,2.026E-05,
54.111,11.59167,2.2528E-05,
54.221,11.61333,2.4703E-05,
54.338,11.635,2.6123E-05,
54.461,11.65667,2.8334E-05,
54.573,11.67833,2.9432E-05,
54.683,11.7,3.1635E-05,
54.797,11.72167,3.2775E-05,
54.911,11.74333,3.4519E-05,
55.033,11.765,3.6867E-05,
55.151,11.78667,3.93E-05,
55.265,11.80833,4.2538E-05,
55.373,11.83,4.3089E-05,
55.497,11.85167,4.4934E-05,
55.611,11.87333,4.7741E-05,
55.733,11.895,4.8049E-05,
55.84,11.91667,5.0949E-05,
55.956,11.93833,5.3196E-05,
56.067,11.96,5.578E-05,
56.189,11.98167,5.7438E-05,
56.295,12.00333,5.9067E-05,
56.421,12.025,6.1127E-05,
56.526,12.04667,6.2749E-05,
56.639,12.06833,6.4485E-05,
56.765,12.09,6.6575E-05,
56.874,12.11167,6.8024E-05,
56.995,12.13333,7.1284E-05,
57.11,12.155,7.3093E-05,
57.222,12.17667,7.4823E-05,
57.335,12.19833,7.6444E-05,
57.449,12.22,7.8361E-05,
57.569,12.24167,8.0407E-05,
57.686,12.26333,8.2805E-05,
57.802,12.285,8.4707E-05,
57.913,12.30667,8.6775E-05,
58.025,12.32833,8.8188E-05,
