Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
638.38397,170.66833,0.009419799999999999,0.005156872,0.010376513,0.004200159,615.64997,6.82e-06,0.00423993384221158,8.39e-06,0.004236172602873959,0.004203176368718317,0.004200362229034108
638.4470200000002,170.69,0.0094207,0.005157489,0.010377643,0.0042005459999999994,615.71302,6.82e-06,0.004240470468522356,8.400000000000001e-06,0.004236717975984375,0.0042037143087694726,0.004200886614077709
638.50897,170.71167,0.0094218,0.005158095,0.010378753000000001,0.004201142,615.77497,6.82e-06,0.00424099775085734,8.400000000000001e-06,0.004237253854587919,0.004204242905387722,0.004201401350516186
638.56897,170.73333,0.009422499999999999,0.005158682,0.010379827,0.004201354,615.83497,6.82e-06,0.004241508453182815,8.400000000000001e-06,0.004237772884550121,0.004204754902799474,0.004201899423638149
638.62903,170.755,0.0094235,0.005159269,0.010380903,0.004201865999999999,615.89503,6.82e-06,0.004242019683217321,8.400000000000001e-06,0.0042382924524708605,0.00420526745106885,0.004202397551643469
638.69299,170.77667,0.0094245,0.005159895,0.010382049,0.004202346,615.9589900000002,6.82e-06,0.004242564128717799,8.400000000000001e-06,0.004238845779389955,0.004205813324446939,0.004202927550409737
638.7520099999998,170.79833,0.009425399999999999,0.005160472,0.010383106,0.004202766,616.01801,6.82e-06,0.004243066540672021,8.400000000000001e-06,0.004239356388728659,0.004206317075998205,0.0042034161906942015
638.81097,170.82,0.009426200000000001,0.005161049,0.010384163,0.004203086,616.0769700000002,6.82e-06,0.00424356845828341,8.400000000000001e-06,0.004239866497237228,0.004206820352933934,0.004203903938926648
638.8729900000002,170.84167,0.0094274,0.005161656,0.010385274,0.0042037820000000005,616.13899,6.82e-06,0.004244096442918609,8.400000000000001e-06,0.004240403099862473,0.004207349790192239,0.004204416586107416
638.935,170.86333,0.0094284,0.005162262,0.010386384,0.004204278,616.201,6.82e-06,0.004244624360571962,8.400000000000001e-06,0.004240939636151889,0.00420787918355741,0.004204928737130371
638.995,170.885,0.0094288,0.005162849000000001,0.010387459,0.00420419,616.261,6.82e-06,0.004245135183512711,8.400000000000001e-06,0.004241458800297897,0.004208391456578095,0.0042054239050174965
639.05402,170.90667,0.00943,0.005163427,0.010388517,0.00420491,616.32002,6.82e-06,0.0042456376795923685,8.400000000000001e-06,0.0042419695031970465,0.004208895400359708,0.004205910629145661
639.11499,170.92833000000005,0.009430599999999999,0.005164023,0.010389609000000001,0.004205014,616.38099,6.82e-06,0.004246156795234965,8.400000000000001e-06,0.004242497098737641,0.004209416033728371,0.0042064130748061266
639.17902,170.95,0.0094318,0.005164649,0.010390756,0.004205694,616.44502,6.82e-06,0.004246701983469568,8.400000000000001e-06,0.004243051194570983,0.004209962840143933,0.004206940356469554
639.23499,170.97167,0.0094325,0.005165197,0.010391758000000001,0.0042059390000000006,616.50099,6.82e-06,0.004247178560088169,8.400000000000001e-06,0.0042435355592783,0.004210440851628308,0.004207400955210702
639.29602,170.99333000000001,0.009434,0.0051657940000000005,0.010392852,0.004206943,616.5620200000002,6.82e-06,0.0042476982387511155,8.400000000000001e-06,0.004244063731990502,0.0042109621165451975,0.004207902876513604
639.35999,171.015,0.0094346,0.00516642,0.010393997,0.004207022,616.62599,6.82e-06,0.0042482429707938925,8.400000000000001e-06,0.004244617369362141,0.00421150853552443,0.00420842863284392
639.41602,171.03667,0.0094362,0.005166968,0.010395001,0.0042081670000000005,616.68202,6.82e-06,0.0042487201062046545,8.400000000000001e-06,0.0042451023065257845,0.00421198716889573,0.004208888852928885
639.479,171.05833,0.0094389,0.005167584,0.010396129,0.004210355,616.745,6.83e-06,0.004249256443527113,8.400000000000001e-06,0.004245647415294583,0.004212525212739312,0.004209405859576527
639.5369900000002,171.08,0.0094395,0.0051681520000000005,0.010397168,0.0042104840000000004,616.80299,6.83e-06,0.004249750302610318,8.400000000000001e-06,0.004246149352679857,0.0042130206644305735,0.004209881633222287
639.599,171.10166999999996,0.009440500000000001,0.005168758,0.010398279,0.00421098,616.865,6.83e-06,0.004250278414720653,8.400000000000001e-06,0.004246686105037723,0.004213550502145686,0.004210390113906118
639.65698,171.12333,0.0094412,0.005169326,0.010399317,0.004211208,616.9229799999998,6.83e-06,0.004250772221518527,8.400000000000001e-06,0.004247187992367906,0.004214045943527797,0.0042108653023169166
639.71997,171.145,0.0094424,0.005169942,0.010400445999999999,0.004211896,616.9859700000002,6.83e-06,0.004251308715727928,8.400000000000001e-06,0.004247733267321116,0.0042145842367055705,0.004211381293271462
639.7810099999998,171.16666999999995,0.0094432,0.005170539,0.010401539,0.0042122,617.04701,6.83e-06,0.004251828619421151,8.400000000000001e-06,0.004248261681894402,0.004215105906670551,0.004211881065774808
639.841,171.18833,0.009444200000000002,0.005171126,0.010402614000000001,0.004212713,617.107,6.83e-06,0.004252339596978912,8.400000000000001e-06,0.004248781025810572,0.004215618642171828,0.004212372017814545
